2013;;;
informatyka;;;
nazwa;semestr;liczba godzin;typ
Podstawy matematyki wyzszej;1;30;wyklad
Podstawy matematyki wyzszej;1;30;cwiczenia
Podstawy analizy matematycznej;1;30;wyklad
Podstawy analizy matematycznej;1;30;cwiczenia
Wstep do programowania;1;30;wyklad
Wstep do programowania;1;30;laboratorium
Matematyka dyskretna 1;1;30;wyklad
Matematyka dyskretna 1;1;30;cwiczenia
Architektura komputerow;1;30;wyklad
Architektura komputerow;1;30;laboratorium
Podstawy ekonomii;1;30;wyklad
Ergonomia i BHP;1;15;wyklad
Wychowanie fizyczne;1;30;cwiczenia
Analiza matematyczna;2;30;wyklad
Analiza matematyczna;2;30;cwiczenia
Algebra liniowa;2;30;wyklad
Algebra liniowa;2;30;cwiczenia
Algorytmy i struktury danych;2;30;wyklad
Algorytmy i struktury danych;2;30;laboratorium
Podstawy fizyki;2;30;wyklad
Podstawy fizyki;2;30;cwiczenia
Laboratorium fizyki;2;30;laboratorium
Matematyka dyskretna 2;2;30;wyklad
Matematyka dyskretna 2;2;30;cwiczenia
Psychologia/Filozofia/Socjologia;2;30;wyklad
Rachunek prawdopodobienstwa i statystyka;3;30;wyklad
Rachunek prawdopodobienstwa i statystyka;3;30;cwiczenia
Programowanie obiektowe;3;30;wyklad
Programowanie obiektowe;3;30;laboratorium
Systemy operacyjne;3;30;wyklad
Systemy operacyjne;3;30;laboratorium
Podstawy elektroniki;3;30;wyklad
Podstawy elektroniki;3;30;cwiczenia
Laboratorium elektroniki;3;30;laboratorium
Formy dzialalno?ci gospodarczej;3;15;wyklad
Formy dzialalno?ci gospodarczej;3;15;cwiczenia
Ochrona wlasno?ci intelektualnej;3;15;wyklad
Jezyk obcy;3;60;cwiczenia
Technologie baz danych;4;30;wyklad
Technologie baz danych;4;30;laboratorium
Inzynieria Oprogramowania;4;30;wyklad
Inzynieria Oprogramowania;4;30;laboratorium
Grafy i sieci;4;30;wyklad
Grafy i sieci;4;15;cwiczenia
Metody numeryczne;4;30;wyklad
Metody numeryczne;4;15;cwiczenia
Metody numeryczne;4;15;laboratorium
Metody analizy danych;4;15;wyklad
Metody analizy danych;4;15;laboratorium
Fakultet1;4;30;wyklad
Fakultet2;4;30;wyklad
Jezyk obcy;4;60;cwiczenia
Sieci komputerowe;5;30;wyklad
Sieci komputerowe;5;30;laboratorium
Paradygmaty programowania;5;30;wyklad
Paradygmaty programowania;5;30;laboratorium
Techniki cyfrowe i podstawy systemow wbudowanych;5;30;wyklad
Techniki cyfrowe i podstawy systemow wbudowanych;5;30;laboratorium
Fakultet3;5;15;wyklad
Fakultet3;5;15;laboratorium
Grafika komputerowa i komunikacja z komputerem;6;30;wyklad
Grafika komputerowa i komunikacja z komputerem;6;30;laboratorium
Problemy spoleczne i zawodowe informatyki;6;15;wyklad
Projekt zespolowy;6;15;laboratorium
Fakultet4;6;15;wyklad
Fakultet4;6;15;laboratorium
Seminarium dyplomowe;6;30;cwiczenia
Sztuczna inteligencja;6;30;wyklad
Sztuczna inteligencja;6;15;laboratorium
Prawo pracy/Najnowsza historia Polski/Komunikacja miedzykulturowa/Historia cywilizacji europejskie;6;30;wyklad
Seminarium dyplomowe;6;30;cwiczenia
