2012;;;;
informatyka;;;;
nazwa_przedmiotu;w;ćw;lab;sem
Podstawy matematyki wyższej;30;30;;1
Podstawy analizy matematycznej;30;30;;1
Wstęp do programowania;30;;30;1
Matematyka dyskretna 1;30;30;;1
Użytkowanie komputerów;30;;30;1
Podstawy ekonomii;30;;;1
Ergonomia i BHP;15;;;1
Wychowanie fizyczne;;30;;1
Analiza matematyczna;30;30;;2
Algorytmy i struktury danych;30;;30;2
Podstawy fizyki;30;30;;2
Laboratorium fizyki;;;30;2
Algebra liniowa;30;30;;2
Matematyka dyskretna 2;30;30;;2
Psychologia/ Filozofia/ Socjologia [*];30;;;2
Rachunek prawdopodobieństwa i statystyka;30;30;;3
Podstawy elektroniki;30;30;;3
Laboratorium elektroniki;;;30;3
Programowanie obiektowe;30;;30;3
Systemy operacyjne;30;;30;3
Formy działalności gospodarczej;15;15;;3
Ochrona własności intelektualnej;15;;;3
Język obcy;;60;;3
Technologie baz danych;30;;30;4
Inżynieria Oprogramowania;30;;30;4
Metody numeryczne;30;15;15;4
Metody analizy danych;15;;15;4
Grafy i sieci;30;15;;4
Język obcy;;60;;4
Budowa stron WWW;;;30;4
Technologie XML;;;30;4
Paradygmaty programowania;30;;30;5
Sieci komputerowe;30;;30;5
Techniki cyfrowe i podstawy systemow wbudowanych;30;;30;5
Analiza i modelowanie danych;15;;30;5
Architektura oprogramowania;15;;30;5
Programowanie komponentowe;15;;30;5
Teoria algorytmów;15;;30;5
Podstawy teleinformatyki;15;;30;5
Systemy multimedialne;30;;15;5
Architektura kompóterów przyszłości;15;;15;5
Modelowanie i animacja przy użyciu programu Blender;15;;15;5
Modelowanie procesów biznesu;15;;15;5
Technologia przetwarzania i analizy danych;15;;15;5
Cyfrowe przetwarzanie sygnałów;15;;15;5
Grafika komputerowa i komunikacja z komputerem;30;;30;6
Problemy społeczne i zawodowe informatyki;15;;;6
Projekt zespołowy;;;15;6
Grafika użytkowa;15;;15;6
Seminarium dyplomowe;;30;;6
Metody Data Mining;30;;30;6
Ochrona informacji i bezpieczeństwo systemów komputerowych;30;;30;6
Hurtownie danych;15;;30;6
Systemy przetwarzania danych;15;;30;6
Technologie CISCO;15;;15;6
Programowanie w Internecie;15;;30;6
Ochrona informacji i bezpieczeństwo systemów komputerowych;30;;30;6
Hurtownie danych;15;;30;6
Semistrukturalne bazy danych;15;;15;6
Systemy wbudowane;30;;30;6
Systemy rozproszone;30;;30;6
Usługi sieciowe;30;;15;6
Symulacja komputerowa;15;;30;6
Programowania inżynierskie;15;;15;6
Aplikacje internetowe;30;;15;6
Wizualizacja danych;30;;30;6
Rekonstrukcja powierzchni i krzywych;15;;15;6
Sztuczna inteligencja;30;;15;7
Prawo pracy/Najnowsza historia Polski/Komunikacja międzykulturowa/Historia cywilizacji europejskie;30;;;7
Seminarium dyplomowe;;30;;7
Systemy Business Intelligence;15;;30;7
Inżynieria danych;15;;15;7
Wprowadzenie do lingwistyki komputerowej;15;;15;7
Systemy Business Intelligence;15;;30;7
Systemy handlu elektronicznego;15;;15;7
Optymalizacja;15;;15;7
Systemy mobilne i komunikacja bezprzewodowa;30;;15;7
Bezpieczeństwo systemów komputerowych;15;;15;7
Fakultet specjalnościowy 3;15;;15;7
Cyfrowe przetwarzanie obrazu;30;;15;7
Animacja komputerowa;15;;15;7
Administracja systemami kompóterowymi;15;;15;7
