2012;;;;
Informatyka i ekonometria;;;;
nazwy_przedmiotów;W;Cw;Lab;Sem
Mikroekonomia;30;15;0;1
Algebra liniowa;30;30;0;1
Analiza matematyczna 1;30;30;0;1
Informatyka ekonomiczna;15;0;30;1
Wstęp do programowania;15;0;15;1
Wstęp do matematyki;30;30;0;1
Język obcy;0;60;0;1
Wychowanie fizyczne;0;30;0;1
Makroekonomia;30;15;0;2
Analiza matematyczna 2;30;30;0;2
Statystyka opisowa i ekonomiczna;15;0;30;2
Algorytmy i struktury danych;15;30;0;2
Matematyka dyskretna;15;15;0;2
Ochrona własności intelektualnej;15;0;0;2
Prawo;30;0;0;2
Filozofia / Psychologia / Socjologia [*];30;0;0;2
Język obcy;0;60;0;2
Rachunek prawdopodobieństwa i statystyka matematyczna;30;30;30;3
Programowanie matematyczne;15;15;0;3
Programowanie komputerowe;15;0;30;3
Systemy operacyjne;15;0;30;3
Finanse;15;30;0;3
Prawo pracy / Komunikacja miedzykulturowa [*];15;0;0;3
Fakultety 1,2,3;90;0;0;3
Programowanie zaawansowane;15;0;30;4
Bazy danych (SQL);15;0;30;4
Podstawy ekonometrii;15;0;30;4
Matematyka finansowa;15;15;15;4
Rachunkowość;15;15;0;4
Fakultety 4,5,6;90;0;0;4
Badania operacyjne;15;0;30;5
Metody numeryczne / Techniki symulacji komputerowych [**];15;15;15;5
Prognozowanie gospodarcze / Systemy wspomagające podejmowanie decyzji w przedsiębiorstwie [**];15;0;30;5
Zarządzanie;30;15;0;5
Ekonometria;15;0;30;5
Matematyka ubezpieczeniowa;15;15;15;5
Seminarium dyplomowe;0;30;0;5
Fakultety 7,8;60;0;0;5
Ekonometria przestrzenna;15;0;15;6
Projektowanie systemów informatycznych;15;15;15;6
Ekonometryczne modelowanie procesów gospodarczych;15;0;30;6
Systemy i rynki ubezpieczeniowe / Rynki kapitałowe [**];15;15;0;6
Wprowadzenie do Systemów BI (Business Intelligence) / Przetwarzanie danych w systemach analitycznych [**];15;0;15;6
Fakultet 9;30;0;0;6
Seminarium dyplomowe;0;30;0;6
