2013;;;;
Informatyka i ekonometria;;;;
nazwy_przedmiotów;W;Cw;Lab;Sem
Mikroekonomia;30;15;0;1
Algebra liniowa;30;30;0;1
Analiza matematyczna 1;30;30;0;1
Informatyka ekonomiczna;15;0;30;1
Wstêp do programowania;15;0;15;1
Wstêp do matematyki;30;30;0;1
Jêzyk obcy;0;60;0;1
Wychowanie fizyczne;0;30;0;1
Makroekonomia;30;15;0;2
Analiza matematyczna 2;30;30;0;2
Statystyka opisowa i ekonomiczna;15;0;30;2
Algorytmy i struktury danych;15;30;0;2
Matematyka dyskretna;15;15;0;2
Ochrona w³asnoœci intelektualnej;15;0;0;2
Prawo;30;0;0;2
Filozofia;30;0;0;2
Jêzyk obcy;0;60;0;2
Rachunek prawdopodobieñstwa i statystyka matematyczna;30;30;30;3
Programowanie matematyczne;15;15;0;3
Programowanie komputerowe;15;0;30;3
Systemy operacyjne;15;0;30;3
Finanse;15;30;0;3
Prawo pracy;15;0;0;3
Fakultet 1;30;0;0;3
Fakultet 2;30;0;0;3
Fakultet 3;30;0;0;3
Programowanie zaawansowane;15;0;30;4
Bazy danych (SQL);15;0;30;4
Podstawy ekonometrii;15;0;30;4
Matematyka finansowa;15;15;15;4
Rachunkowoœæ;15;15;0;4
Fakultet 4;30;0;0;4
Fakultet 5;30;0;0;4
Fakultet 6;30;0;0;4
Badania operacyjne;15;0;30;5
Metody numeryczne;15;15;15;5
Prognozowanie gospodarcze;15;0;30;5
Zarz¹dzanie;30;15;0;5
Ekonometria;15;0;30;5
Matematyka ubezpieczeniowa;15;15;15;5
Seminarium dyplomowe;0;30;0;5
Fakultet 7;30;0;0;5
Fakultet 8;30;0;0;5
Ekonometria przestrzenna;15;0;15;6
Projektowanie systemów informatycznych;15;15;15;6
Ekonometryczne modelowanie procesów gospodarczych;15;0;30;6
Rynki kapita³owe;15;15;0;6
Przetwarzanie danych w systemach analitycznych;15;0;15;6
Fakultet 9;30;0;0;6
Seminarium dyplomowe;0;30;0;6
